2026-04-17T12:29:09.962449300 | transactionId=TX1003 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Large deposit on a zero-balance account (Potential Shell Account Activity).]
2026-04-29T18:25:13.369019100 | transactionId=TX1002 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, RapidFireRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Three or more transactions were observed within the last minute.]
2026-04-29T19:32:10.549352 | transactionId=TXN-BULK-0092 | type=WITHDRAWAL | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:32:10.589485800 | transactionId=TXN-BULK-0152 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:32:10.603551300 | transactionId=TXN-BULK-0172 | type=WITHDRAWAL | riskScore=76 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:32:10.622399 | transactionId=TXN-BULK-0205 | type=TRANSFER | riskScore=76 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:32:10.737306100 | transactionId=TXN-BULK-0397 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:39:38.421090100 | transactionId=TX1001 | type=TRANSFER | riskScore=71 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule, VelocityRule] | reasons=[Large transaction amount exceeding INR 50,000.00., Large deposit of 74,000.00 on a zero-balance account., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:40:17.532348300 | transactionId=TXN-BULK-0092 | type=WITHDRAWAL | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:40:17.576913800 | transactionId=TXN-BULK-0152 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:40:17.592132800 | transactionId=TXN-BULK-0172 | type=WITHDRAWAL | riskScore=76 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:40:17.614255 | transactionId=TXN-BULK-0205 | type=TRANSFER | riskScore=76 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T19:40:17.710277900 | transactionId=TXN-BULK-0397 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T20:44:58.794632600 | transactionId=TXN-BULK-0019 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.814092100 | transactionId=TXN-BULK-0035 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.818083 | transactionId=TXN-BULK-0038 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.827552300 | transactionId=TXN-BULK-0045 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.835322800 | transactionId=TXN-BULK-0054 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.844084 | transactionId=TXN-BULK-0061 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.850028200 | transactionId=TXN-BULK-0065 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.861231400 | transactionId=TXN-BULK-0075 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.880272600 | transactionId=TXN-BULK-0097 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T20:44:58.883918300 | transactionId=TXN-BULK-0100 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.887564100 | transactionId=TXN-BULK-0104 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.891134500 | transactionId=TXN-BULK-0108 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.900967900 | transactionId=TXN-BULK-0124 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.923577600 | transactionId=TXN-BULK-0157 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.927808 | transactionId=TXN-BULK-0163 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.943520300 | transactionId=TXN-BULK-0192 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.947927 | transactionId=TXN-BULK-0199 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.953112200 | transactionId=TXN-BULK-0207 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.958335400 | transactionId=TXN-BULK-0215 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.961806 | transactionId=TXN-BULK-0219 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.967294100 | transactionId=TXN-BULK-0225 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.970287800 | transactionId=TXN-BULK-0229 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.973926600 | transactionId=TXN-BULK-0234 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.987500800 | transactionId=TXN-BULK-0263 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:58.996715800 | transactionId=TXN-BULK-0276 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.000250600 | transactionId=TXN-BULK-0283 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.003542 | transactionId=TXN-BULK-0288 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.007941300 | transactionId=TXN-BULK-0293 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.019260600 | transactionId=TXN-BULK-0316 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.026697300 | transactionId=TXN-BULK-0326 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.028698500 | transactionId=TXN-BULK-0328 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.037679600 | transactionId=TXN-BULK-0344 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.038870400 | transactionId=TXN-BULK-0345 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.052409200 | transactionId=TXN-BULK-0371 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.055722900 | transactionId=TXN-BULK-0375 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.063818500 | transactionId=TXN-BULK-0389 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.066058400 | transactionId=TXN-BULK-0391 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T20:44:59.067057400 | transactionId=TXN-BULK-0393 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.075592400 | transactionId=TXN-BULK-0412 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.075592400 | transactionId=TXN-BULK-0413 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.094337200 | transactionId=TXN-BULK-0446 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T20:44:59.098640500 | transactionId=TXN-BULK-0453 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.098640500 | transactionId=TXN-BULK-0454 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.103402900 | transactionId=TXN-BULK-0459 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.112821200 | transactionId=TXN-BULK-0470 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.118385200 | transactionId=TXN-BULK-0479 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.119777600 | transactionId=TXN-BULK-0481 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.121909200 | transactionId=TXN-BULK-0483 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T20:44:59.126919800 | transactionId=TXN-BULK-0493 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.129015 | transactionId=TXN-BULK-0495 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T20:44:59.132863600 | transactionId=TXN-BULK-0500 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.635884100 | transactionId=TXN-BULK-0019 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.671376600 | transactionId=TXN-BULK-0035 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.677741200 | transactionId=TXN-BULK-0038 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.692096300 | transactionId=TXN-BULK-0045 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.710464500 | transactionId=TXN-BULK-0054 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.723029600 | transactionId=TXN-BULK-0061 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.731572400 | transactionId=TXN-BULK-0065 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.749899500 | transactionId=TXN-BULK-0075 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.782245600 | transactionId=TXN-BULK-0097 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T22:17:52.786815500 | transactionId=TXN-BULK-0100 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.793814100 | transactionId=TXN-BULK-0104 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.801925400 | transactionId=TXN-BULK-0108 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.824014700 | transactionId=TXN-BULK-0124 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.866353300 | transactionId=TXN-BULK-0157 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.876427500 | transactionId=TXN-BULK-0163 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.914568900 | transactionId=TXN-BULK-0192 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.958553400 | transactionId=TXN-BULK-0199 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.969635200 | transactionId=TXN-BULK-0207 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.978668 | transactionId=TXN-BULK-0215 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
